ABC	Abcam Plc
BOCH	Bank of Cyprus Holdings Public Limited C
BOD	Botswana Diamonds Plc
BOE	Boeing Co.
BOIL	Baron Oil Plc
BOKU	Boku Inc
BONH	Bonhill Group Plc
BOO	Boohoo.com Plc
BOOM	Audioboom Group Plc
BOOT	Boot [Henry] Plc
BOR	Borders & Southern Petroleum Plc
BOTB	Best of The Best Plc
BOWL	Hollywood Bowl Group Plc
BOXE	Tritax Eurobox Plc
BOY	Bodycote Plc
BP	Bp - British Petroleum Plc
BP.A	BP Plc
BPC	Bahamas Petroleum Company Plc
BPCR	Biopharma Credit Plc
BPET	BMO Private Equity Trust Plc
BPM	B.P. Marsh & Partners Plc
BQAD	Bank Audi S.A.L.
BR88	3I Group Plc
BRBY	Burberry Group Plc
BRCK	Brickability Group Plc
BRD	Bluerock Diamonds Plc
BREE	Breedon Aggregates Ld
BREI	BMO Real Estate Investments Limited
BRES	Blencowe Resources Plc
BRFI	Blackrock Frontiers Investment Trust Plc
BRGE	Blackrock Greater Europe Investment Trus
BRH	Braveheart Investment Group Plc
BRIG	Blackrock Income and Growth Investment T
BRK	Brooks Macdonald Group Plc
BRLA	Blackrock Latin American Investment Trus
BRNA	Blackrock North American
BRND	Boost Issuer Public Limi
BRSC	Blackrock Smaller CO Trust Plc
BRT3	UBS Ag
BRW	Brewin Dolphin Holdings Plc
BRWM	Blackrock World Mining Trust Plc
BSC	British Smaller Companies Vct2 Plc
BSD	B.S.D Crown Ltd
BSE	Base Resources Limited
BSFA	Bsf Enterprise Plc
BSIF	Bluefield Solar Income F
BSRT	Baker Steel Resources Trust Limited
BSV	British Smaller Companies Vct Plc
BT.A	Bt Group Plc
BUOY	Lyxor Index Fund
BUR	Burford Capital Limited
BUR2	Burford Capital Plc
BUR4	Burford Capital Finance Llc
BUT	Brunner Investment Trust Plc
BUYB	Powershares Glbal Funds
BVA	Banco Bilbao Vizcaya Argentaria Sa
BVC	Batm Advanced Communications Ld
BVIC	Britvic Plc
BVT	Baronsmead Vct 2 Plc
BVXP	Bioventix Plc
BWNG	Brown [N] Group Plc
BWRA	Bristol Water Plc
BWSA	Bristol & West Plc
BWY	Bellway Plc
BXP	Beximco Pharmaceuticals Limited
BYG	Big Yellow Group Plc
BYOT	Byotrol Plc
BZT	Bezant Resources Plc
C4XD	C4X Discovery Holdings P
CACX	Lyxor International Asse
CAD	Cadogan Petroleum Plc
CAF1	Retail Charity Bonds Plc
CAL	Capital & Regional Plc
CALL	Cloudcall Group Plc
CAM	Camellia Plc
CAMB	Cambria Automobiles Plc
CAML	Central Asia Metals Plc
CAPC	Capital & Counties Properties Plc
CAPD	Capital Drilling Limited
CAPE	Ossiam Lux
CAR	Carclo Plc
CARD	Card Factory Plc
CARR	Carr's Group Plc
CASE	Go Ucits ETF Solutions P
CASP	Caspian Sunrise Plc
CAT	Catco Reinsurance Opportunities Fund Lim
CAU	Centaur Media Plc
CAY	Charles Stanley Group Plc
CBA	Ceiba Investments Limited
CBG	Close Brothers Group Plc
CBKD	Commercial International
CBOX	Cake Box Holdings Plc
CBP	Curtis Banks Group Plc
CCC	Computacenter Plc
CCEP	Coca-Cola European Partners Plc
CCH	Coca-Cola Hbc Ag
CCJI	CC Japan Income & Growth Trust Plc
CCL	Carnival Plc
CCP	Celtic Plc
CCPE	Cvc Credit Partners Euro
CCR	C&C Group Plc
CCS	Crossword Cybersecurity Plc
CCSL	Chenavari Capital Soluti
CCT	Character Group Plc
CDFF	Cardiff Property Plc
CDM	Codemasters Group Holdings Plc
CECD	Lyxor International Asse
CEIR	Compal Electronics Inc
CEMA	CS ETF [Ie] Plc
CEPS	Ceps Plc
CER	Cerillion Plc
CERP	Columbus Energy Resources Plc
CEU	CS ETF [Ie] Plc
CEY	Centamin Plc
CFX	Colefax Group Plc
CFYN	Caffyns Plc
CGB	DB X-Trackers II
CGEO	Georgia Capital Plc
CGH	Chaarat Gold Holdings Ltd
CGI	Canadian General Investments Ld
CGNR	Conroy Gold & Natural Resources Plc
CGO	Contango Holdings Plc
CGS	Castings Plc
CGT	Capital Gearing Trust Plc
CGW	Chelverton Growth Trust Plc
CHAL	Challenger Acquisitions
CHAR	Chariot Oil & Gas Limited
CHF	Chesterfield Resources Plc
CHG	Chemring Group Plc
CHH	Churchill China Plc
CHIN	Icbc Credit Suisse Ucits ETF Sicav
CHRT	Cohort Plc
CIC	Conygar Investment Company Plc [The]
CIFU	Carador Income Fund Plc
CIHL	Caribbean Investment Holdings Limited
CIN	City of London Group Plc
CIND	CS ETF [Ie] Plc
CINE	Cineworld Group Plc
CIP	Cip Merchant Capital Limited
CIR	Circassia Pharmaceutical
CIT2	Leverage Shares Public Limited Company
CKN	Clarkson Plc
CKT	Checkit Plc
CLC	Calculus Vct Plc
CLCO	Cloudcoco Group Plc
CLDN	Caledonia Investments Plc
CLG	Clipper Logistics Plc
CLI	Cls Holdings Plc
CLIG	City of London Investment Group Plc
CLIN	Clinigen Group Plc
CLL	Cello Group Plc
CLNR	Cluff Natural Resources Plc
CLON	Clontarf Energy Plc
CLP	Clear Leisure Plc
CLSU	Clearstar Inc
CMB	Cambria Africa Plc
CMCL	Caledonia Mining Corporation
CMCX	Cmc Markets Plc
CMFP	Etfx Fund Company Plc
CMH	Chamberlin Plc
CMHY	City Merchants High Yield Trust Limited
CML	Cml Microsystems Plc
CMOD	Source Markets Public Limited Company
CMX	Catalyst Media Group Plc
CMXC	CS ETF [Ie] Plc
CNA	Centrica Plc
CNC	Concurrent Technologies Plc
CNCT	Connect Group Plc
CNDX	CS ETF [Ie] Plc
CNE	Cairn Energy Plc
CNEL	China New Energy Limited
CNG	China Nonferrous Gold Li
CNIC	Centralnic Group Plc
CNKS	Cenkos Securities Plc
CNKY	CS ETF [Ie] Plc
CNN	Caledonian Trust Plc
CNR	Condor Gold Plc
CNS	Corero Network Security Plc
CNSD	China Steel Corporation
COA	Coats Group Plc
COBR	Cobra Resources Plc
COD	Compagnie DE Saint Gobain Sa
COG	Cambridge Cognition Hold
COM	Comptoir Group Plc
COMF	Etfx Fund Company Plc
COPL	Canadian Overseas Petrol
CORA	Cora Gold Limited
CORO	Coro Energy Plc
COS	Collagen Solutions Plc
COST	Costain Group Plc
COWZ	Pacer US Cash Cows 100 Index
CPC	City Pub Group Plc [The]
CPG	Compass Group Plc
CPI	Capita Plc
CPP	Cppgroup Plc
CPS	Cpl Resources Plc
CPT	Concepta Plc
CPX	Cap-Xx Limited
CPXJ	CS ETF [Ie] Plc
CRBL	Lyxor International Asse
CRC	Circle Property Plc
CRDA	Croda International Plc
CREI	Custodian REIT Plc
CREO	Creo Medical Group Plc
CRH	CRH Plc
CRL	Creightons Plc
CRM2	Leverage Shares Public Limited Company
CRN	Cairn Homes Plc
CRNL	Lyxor International Asse
CRPR	Cropper [James] Plc
CRPX	Lyxor International Asse
CRS	Crystal Amber Fund Limited
CRST	Crest Nicholson Holdings
CRU	Coral Products Plc
CRV	Craven House Capital Plc
CRW	Craneware Plc
CRWN	Crown Place Vct Plc
CSCA	CS ETF [Ie] Plc
CSH	Civitas Social Housing Plc
CSH2	Lyxor Index Fund
CSHD	Lyxor International Asse
CSJP	CS ETF [Ie] Plc
CSN	Chesnara Plc
CSP	Countryside Properties Plc
CSPX	CS ETF [Ie] Plc
CSSG	Croma Security Solutions Group Plc
CSUK	CS ETF [Ie] Plc
CTEA	Catenae Innovation Plc
CTEC	Convatec Group Plc
CTG	Christie Group Plc
CTH	Caretech Holdings Plc
CTI	Cathay International Holdings Ld
CTO	Tclarke Plc
CTY	City of London Investment Trust Plc
CUKS	CS ETF [Ie] Plc
CVSG	CVS Group Plc
CWD	Countrywide Plc
CWK	Cranswick Plc
CWR	Ceres Power Holdings Plc
CYAN	Cyanconnode Holdings Plc
CYN	Cqs Natural Resources Growth & Income Plc
CYS	Chrysalis Vct Plc
CZN	Curzon Energy Plc
D4T4	D4T4 Solutions Plc
DAL	Dalata Hotel Group Plc
DATA	Globaldata Plc
DBOX	Digitalbox Plc
DC	Dixons Carphone
DCC	Dcc Plc
DCI	Dolphin Capital Investors Limited
DCTA	Directa Plus Plc
DDDD	4D Pharma Plc
DDV1	Downing One Vct Plc
DEL2	Go Ucits ETF Solutions P
DELT	DELTA ELECTRONICS INC GDR EACH REPR 5 ORD SHS 'REG S'
DEMG	Deltex Medical Group Plc
DEMV	Ossiam Lux
DES2	Go Ucits ETF Solutions P
DEST	Destiny Pharma Plc
DEV	Dev Clever Holdings Plc
DEVC	Draper Esprit Vct Plc
DFCH	Distribution Finance Capital Holdings Pl
DFS	Dfs Furniture Plc
DGE	Diageo Plc
DGN	Asia Dragon Trust Plc
DGOC	Diversified Gas & Oil Plc
DIA	Dialight Plc
DIG	Dunedin Income Growth Investment Trust P
DIGS	Gcp Student Living Plc
DIS	Distil Plc
DISH	Bigdish Plc
DIVI	Diverse Income Trust [The] Plc
DJEL	Lyxor International Asse
DKE	Dukemount Capital Plc
DKL	Dekel Agri-Vision Plc
DL2P	Go Ucits ETF Solutions P
DLAR	DE LA Rue Plc
DLG	Direct Line Insurance Gr
DLN	Derwent London Plc
DMGT	Daily Mail & General Trust Plc
DMTR	Deepmatter Group Plc
DNA	Doric Nimrod Air One Limited
DNA2	Doric Nimrod Air Two Lim
DNA3	Doric Nimrod Air Three L
DNE	Dunedin Enterprise Investment Trust Plc
DNK	Danakali Limited
DNL	Diurnal Group Plc
DNLM	Dunelm Group Plc
DOCG	Legal & General Ucits ETF Public Limited
DODS	Dods [Group] Plc
DOM	Domino's Pizza Group Plc
DOTD	Dotdigital Group Plc
DP2G	Downing Two Vct Plc
DP3F	Downing Three Vct Plc
DPA	Dp Aircraft I Limited
DPEU	Dp Eurasia N.V.
DPH	Dechra Pharmaceuticals Plc
DPLM	Diploma Plc
DPP	Dp Poland Plc
DRIP	Drum Income Plus REIT Pl
DRV	Driver Group Plc
DRX	Drax Group Plc
DS2P	Go Ucits ETF Solutions P
DSCF	Retail Charity Bonds Plc
DSCV	Discoverie Group Plc
DSG	Dillistone Group Plc
DSM	Downing Strategic Micro-Cap Investment T
DTEC	DIAMONDTECH INC ORD GBP0.00125
DTG	Dart Group Plc
DTVL	Dish TV India Limited
DTY	Dignity Plc
DUKE	Duke Royalty Limited
DVO	Devro Plc
DWF	Dwf Group Limited
DWHA	Dewhurst Plc
DX	DX Group
DXRX	Diaceutics Plc
E3X0580	Ftseurofirst 300 Alterna
E3X8630	Ftseurofirst 300 Real Estate Investment
EAH	Eco Animal Health Group Plc
EAI	Entertainment Ai Plc
EAT	European Assets Trust NV
EBOX	Tritax Eurobox Plc
EBQ	Ebiquity Plc
EBW2	Bmw Finance N.V.
ECEL	Eurocell Plc
ECHO	Echo Energy Plc
ECK	Eckoh Plc
ECM	Electrocomponents Plc
ECO	Eco [Atlantic] Oil & Gas Ltd
ECOG	Go Ucits ETF Solutions Plc
ECOW	Pacer Emerging Markets Cash Cows 100 Ind
ECOWN	Pacer Emerging Markets Cash Cows 100 Net
ECR	Ecr Minerals Plc
ECSC	Ecsc Group Plc
EDEN	Eden Research Plc
EDF1	Electricite DE France Sa
EDGH	Edge Performance Vct Plc
EDIN	Edinburgh Investment Trust Plc
EDL	Edenville Energy Plc
EDR	Egdon Resources Plc
EEE	Engel East Europe
EFGD	Efg-Hermes Holding S.A.E
EFID	Edita Food Industries S.
EFIE	Source Markets Public Li
EFIM	Invesco Markets Plc
EFIS	Source Markets Public Li
EGAS	Epra Asia Index [Eur]
EGL	Ecofin Global Utilities and Infrastructu
EGNA	Epra North America Index
EGXU	Epra/Nareit Global [Ex Us] Index
EHEF	Fundlogic Alternatives Plc
EHS1	HSBC Bank Funding Ster
EHZ3	Hj Heinz Finance UK Plc
EJFI	Ejf Investments Ltd
EKF	Ekf Diagnostics Holdings Plc
ELAU	Epra Australia Index
ELCO	Eleco Plc
ELHK	Epra Hong Kong Index
ELJP	Epra Japan Index
ELLA	Ecclesiastical Insurance Office Plc
ELLE	Lyxor Index Fund
ELM	Elementis Plc
ELSA	Societatea Comerciala DE
ELTA	Electra Private Equity Plc
ELUK	Epra UK Index
ELV2	Lvmh Moet Hennessy Louis Vuitton Se
EMAN	Everyman Media Group Plc
EME	Empyrean Energy Plc
EMG	Man Group Plc
EMH	European Metals Holdings Limited
EMHD	Powershares Glbal Funds Ireland Plc
EMIS	Emis Group Plc
EML	Emmerson Plc
EMLI	Pimco Fixed Income Sourc
EMR	Empresaria Group Plc
ENAD	Epra/Nareit Asia Index [Us Version]
ENET	Ethernity Networks Ltd
ENGD	Epra/Nareit Global Index
ENGI	Energiser Investments Plc
ENGL	Epra Global Index
ENOG	Energean Oil & Gas Plc
ENPL	En+ Group Plc
ENQ	Enquest Plc
ENUD	Epra/Nareit US Index
EOG	Europa Oil & Gas [Holdings] Plc
EPA7	Phoenix Life Ltd
EPB6	Petrobras Global Finance
EPEU	Epra Euro Zone Index
EPG	Ep Global Opportunities Trust Plc
EPHG	Epra Europe [Uk Restricted] Index
EPIC	Ediston Property Investm
EPRA	Epra Europe Index
EPWN	Epwin Group Plc
EQGB	Powershares Glbal Funds Ireland Plc
EQLS	Equals Group Plc
EQN	Equiniti Group Plc
EQQQ	Powershares Glbal Funds Ireland Plc
EQQU	Powershares Glbal Funds
EQT	Eqtec Plc
ERB1	Cooperatieve Rabobank Ua
ERGO	Ergomed Plc
ERIS	Erris Resources Plc
ERM	Euromoney Institutional Investor Plc
ESC	Escape Hunt Plc
ESG6	Assicurazioni Generali Spa
ESGE	Invesco Markets II Plc
ESK0	Sky Plc
ESL	Eddie Stobart Logistics Plc
ESNT	Essentra Plc
ESO	Epe Special Opportunities Plc
ESP	Empiric Student Property
ESS2	Svenska Handelsbanken Ab
ESYS	Essensys Plc
ETLN	Etalon Group Limited
ETO2	Total Capital Intl Sa
ETX	E-Therapeutics Plc
EUHD	Powershares Glbal Funds Ireland Plc
EUMV	Ossiam Lux
EUZ	Europa Metals Ltd
EVE	Eve Sleep Plc
EVG	Evgen Pharma Plc
EVR	Evraz Plc
EWI	Edinburgh Worldwide Investment Trust Plc
EXPN	Experian Plc
EYE	Eagle Eye Solutions Grou
EZF2	Zurich Finance [Uk] Plc
EZJ	Easyjet Plc
F4GAS	Ftse4Goodaseanind
F4GEM	Ftse4Goodemergind
F4GLA	Ftse4Goodemlatamind
F4GTTE	Ftse4Good Tip Taiwan ESG Index
FAB	Fusion Antibodies Plc
FAGB	Powershares Glbal Funds Ireland Plc
FAIR	Fair Oaks Income Fund Li
FAN	Volution Group Plc
FAR	Ferro-Alloy Resources Limited
FARN	Faron Pharmaceuticals Oy
FAS	Fidelity Asian Values Plc
FB2	Leverage Shares Public Limited Company
FBH	Fbd Holdings Plc
FBT	Blackbird Plc
FCAP	Finncap Group Plc
FCCN	French Connection Group Plc
FCH	Funding Circle Holdings Plc
FCIT	F&C Investment Trust Plc
FCNBCA	
FCRM	Fulcrum Utility Services Ld
FCSS	Fidelity China Special Situations Plc
FDBK	Feedback Plc
FDEV	Frontier Developments Pl
FDM	Fdm Group [Holdings] Plc
FDN	First Trust Global Funds Public Limited
FDP	First Derivatives Plc
FEDS	Federal Bank Limited [Th
FEES	Jsc Federal Grid Company
FEET	Fundsmith Emerging Equit
FEM	First Trust Global Funds
FEN	Frenkel Topping Group Plc
FERG	Ferguson Plc
FEUD	First Trust Global Funds Public Limited
FEUZ	First Trust Global Funds
FEV	Fidelity European Values Plc
FEVR	Fevertree Drinks Plc
FEX	First Trust Global Funds
FFWD	Fastforward Innovations Limited
FGBL	First Trust Global Funds
FGP	Firstgroup Plc
FGT	Finsbury Growth & Income Trust Plc
FIF	Finsbury Food Group Plc
FIH	Fih Group Plc
FIPP	Frontier Ip Group Plc
FIVE	X5 Retail Group N.V
FJET	Fastjet Plc
FJPU	First Trust Global Funds Public Limited
FJV	Fidelity Japanese Values Plc
FKE	Fiske Plc
FKU	First Trust Global Funds
FKUD	First Trust Global Funds Public Limited
FLK	Fletcher King Plc
FLO	Flowtech Fluidpower Plc
FLQL1	Libertyq US Large Cap Equity Index
FLQM1	Libertyq US Mid Cap Equity Index
FLQS1	Libertyq US Scall Cap Equity Index
FLTA	Filta Group Holdings Plc
FLTR	Flutter Entertainment Plc
FLX	Falanx Group Limited
FOG	Falcon Oil & Gas Ltd
FORT	Forterra Plc
FOUR	4Imprint Group Plc
FOX	Fox Marble Holdings Plc
FOXT	Foxtons Group Plc
FP	Friends Provident
FPO	First Property Group Plc
FPX	First Trust Global Funds
FRAN	Franchise Brands Plc
FRES	Fresnillo Plc
FRP	Fairpoint Group Plc
FRTW100	Tsec RAFI Taian 100 Inde
FRTW50	Tsec RAFI Taian 50 Index
FSFL	Foresight Solar Fund Lim
FSJ	Fisher [James] & Sons Plc
FSKY	First Trust Global Funds Public Limited
FSTA	Fuller Smith & Turner Plc
FSV	Fidelity Special Values Plc
FTC	Filtronic Plc
FTEK	Source Markets Public Limited Company
FTEU	First Trust Global Funds Public Limited
FTF	Foresight 4 Vct Plc
FTFX	First Trust Global Funds Public Limited
FTSV	Foresight Solar Vct Plc
FTUGAS	Epra/Nareit Asia Index [Usd]
FTV	Foresight Vct Plc
FUL	The Fulham Shore Plc
FUM	Futura Medical Plc
FUTR	Future Plc
FXGB	First Trust Global Funds Public Limited
FXPO	Ferrexpo Plc
FXRU	Finex Funds Plc
G3E	G3 Exploration Limited
G4M	Gear4Music [Holdings] Pl
GABI	Gcp Asset Backed Income Fund Limited
GACA	General Accident Plc
GAID	Gail [India] Ld
GAL	Galantas Gold Corporation
GAMA	Gamma Communications Plc
GATC	Gattaca Plc
GAW	Games Workshop Group Plc
GAZ	Jsc Gazprom Neft
GBG	Gb Group Plc
GBP	Global Petroleum Limited
GBS	Gold Bullion Securities Ld
GCG	Golden Rock Global Plc
GCL	Geiger Counter Limited
GCM	Gcm Resources Plc
GCP	Gcp Infrastructure Investments Limited
GCS	Geiger Counter Limited
GDP	Goldplat Plc
GDR	Genedrive Plc
GDWN	Goodwin Plc
GDX	Market Vectors Ucits ETF
GEC	General Electric Company
GEEC	Great Eastern Energy Corporation Limited
GEF	Fundlogic Alternatives P
GEM	Gemfields Plc
GEMD	Gem Diamonds Limited
GEND	Lyxor Index Fund
GENE	UBS [Irl] ETF Plc
GENL	Genel Energy Plc
GETB	Getbusy Plc
GFHG	Grand Fortune High Grade Limited
GFIN	Gfinity Plc
GFM	Griffin Mining Limited
GFRD	Galliford TRY Plc
GFS	G4S Plc
GFTU	Grafton Group Plc
GGP	Greatland Gold Plc
GHE	Gresham House Plc
GHG	Georgia Healthcare Group Plc
GHH	Gooch & Housego Plc
GHS	Gresham House Strategic Plc
GHT	Gresham Computing Plc
GIF	Gulf Investment Fund Plc
GINC	First Trust Global Funds Public Limited
GINV	Global Invacom Group Lim
GKP	Gulf Keystone Petroleum Ltd
GLB	Glanbia Plc
GLDU	UBS Ag
GLE	Gleeson [M.J.] Group Plc
GLEN	Glencore Xstrata Plc
GLGG	Legal & General Ucits ETF Public Limited
GLIF	Greenwich Loan Income Fund Ld
GLIZ	Gli Finance Limited
GLO	Contourglobal Plc
GLPR	Global Ports Investments
GLR	Galileo Resources Plc
GLT5	Invesco Markets II Plc
GLTR	Globaltrans Investment P
GLUG	Legal & General Ucits ETF Public Limited
GLV	Glenveagh Properties Plc
